datetime,open,high,low,close,volume
2020-01-03,84.62,85.74,84.24,85.33,9547470
2020-01-06,85.35,85.35,84.52,85.24,5737100
2020-01-08,84.71,86.18,84.32,85.45,7224770
2020-01-09,85.6,88.95,85.3,87.78,16402190
2020-01-10,88.0,89.38,87.22,89.3,14493780
2020-01-13,89.64,92.0,88.71,91.89,26285790
2020-01-14,91.9,92.52,89.66,90.02,19847540
2020-01-15,90.02,90.7,89.01,90.37,11336340
2020-01-16,90.39,91.19,88.38,88.96,15491600
2020-01-17,88.78,91.99,88.6,91.85,18427950
2020-01-20,91.4,91.9,90.66,90.99,14989470
2020-01-21,90.83,91.85,89.63,90.87,19352250
2020-01-22,90.71,92.64,90.71,91.49,22902300
2020-01-23,91.0,92.21,89.88,90.02,18730590
2020-01-24,90.0,91.01,89.8,90.49,10845850
2020-01-27,89.55,89.85,86.54,87.0,17258290
2020-01-28,87.0,87.58,84.56,85.53,29926330
2020-01-29,85.78,86.63,85.01,85.5,18374230
2020-01-30,85.15,85.31,82.82,82.82,25135770
2020-01-31,83.0,84.0,80.05,80.2,26107560
2020-02-03,80.0,82.21,79.66,81.45,16836840
2020-02-04,81.85,82.88,80.76,82.7,25772180
2020-02-05,82.98,85.25,82.15,84.39,26631510
2020-02-06,84.71,85.36,82.8,83.71,20138760
2020-02-07,83.71,84.79,82.8,84.53,11943670
2020-02-10,84.59,84.74,79.87,82.05,38998740
2020-02-11,82.42,82.9,80.76,82.18,19664150
2020-02-12,82.3,83.15,81.5,82.78,15058900
2020-02-13,82.48,82.7,81.16,81.47,10471350
2020-02-14,81.4,82.36,81.22,82.17,7390660
2020-02-17,81.87,82.48,81.64,82.19,5239250
2020-02-18,82.05,82.65,80.37,80.5,13557820
2020-02-19,80.57,81.81,80.57,81.25,11172450
2020-02-20,81.3,83.75,81.3,82.96,20798750
2020-02-21,82.61,83.45,81.85,83.2,9103730
2020-02-25,81.5,86.03,80.01,80.2,26228300
2020-02-26,80.49,80.87,77.0,79.0,32656710
2020-02-27,78.7,78.84,75.9,76.26,29086410
2020-02-28,74.99,75.25,67.56,71.39,71031000
2020-03-02,73.35,73.57,70.0,71.56,31272150
2020-03-03,72.71,72.81,70.12,70.82,19366190
2020-03-04,70.12,72.16,67.44,71.56,25783850
2020-03-05,72.02,72.5,70.68,71.65,10947180
2020-03-06,71.2,71.52,68.7,70.75,36500280
2020-03-10,63.69,73.98,62.37,68.61,57331460
2020-03-11,70.0,71.39,67.03,69.42,30085320
2020-03-12,66.99,67.88,63.55,63.55,45440510
2020-03-13,64.0,66.28,62.79,62.79,39801800
2020-03-16,63.89,63.89,57.31,59.95,42545950
